user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
匿名用户,1分,不佳,景色1,趣味1,性价比1,不建议来，服务差，坑人的景点,IP属地:上海,,,,,东方明珠差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,"人还没有走出去，赶着要来评价！
性价比太低了！啥都没有门票200300，太差劲了！
电梯里的观光员白眼翻的，做一趟车翻白眼一个两个都是翻。翻白眼是调特色吗、？我都想投诉到12345。",IP属地:上海,,,,,东方明珠差评
M28****9726,1分,不佳,景色1,趣味1,性价比1,体验感太差了，不建议上来，在门口拍照就可以了！,IP属地:上海,,,,,东方明珠差评
M50****822,1分,不佳,景色2,趣味2,性价比1,上塔下塔有固定流程，直接跳过是不能够的，观光后如果要体验那个自助餐，就得留在上面，如果跟着电梯下塔想再上去，还得二次过安检重新上，非常不方便。吃的也不咋地，景色也一般。,IP属地:上海,,,,,东方明珠差评
M40****9426,2分,一般,景色1,趣味1,性价比1,差??差差差,IP属地:江苏,,,,,东方明珠差评
M29****849,2分,一般,景色3,趣味2,性价比2,"1,环境，因为下午5点去，想着能看夕阳，结果里面很黑，因为贴了膜，看外面很一般，看里面也一般，没有那些说的什么情绪价值！
2、食物：种类多但是品质很一般，不值这个这个价格，水果也很普通，我们家舅舅吃了一个不知道什么鱼，差点吐出来了
3.服务：服务员态度不好，因为想做靠窗的位置，让服务员换到靠窗位置，服务员说用餐结束后要提前15分钟离开，我消费还限定我用餐时间！因为换位置，上一桌的客人还没走，一个服务员让我等，一个服务员让我换过去，让我等的服务员说人家没有走，态度非常不好，自己的都不商量好就来安排！
4,性价比：低，劝大家想看风景的就看风景，想吃饭就安心找个地方吃饭，这个看风景跟吃饭不合适安排在一起",IP属地:江苏,,,,,东方明珠差评
M15****143,1分,不佳,景色4,趣味4,性价比2,更改登船地点未提前告知，白白等待2个小时，体验感非常差！,IP属地:上海,,,,,东方明珠差评
M31****056,1分,不佳,景色1,趣味1,性价比1,这次乘船感觉非常不好,IP属地:上海,,,,,东方明珠差评
_WeCh****959959,2分,一般,景色3,趣味2,性价比2,一家三口700多 不太值得,IP属地:江苏,,,,,东方明珠差评
M53****7470,2分,一般,景色2,趣味2,性价比2,自助餐吃到8点半 就有工作人员来告诉你 9点不光是吃自助餐的结束 还是东方明珠的关闭时间 过了九点就无法到达90米的一球观光位置 直接到了78米的位置 就挺离谱的 主要是景区介绍也没有写这一点 这不成心减少顾客的吃饭体验和时间吗？吃也没吃好 玩也没玩好 我也不明白这东方明珠是怎么想的 自助餐时间居然能和观光时间相互冲突 真是让人大开眼界,IP属地:上海,,,,,东方明珠差评
131****1889,2分,一般,景色5,趣味3,性价比1,管理混乱，来了个旅游团，就一个员工带进餐厅安排座位，大多数人中途就溜了自己找座位。这种情况希望派多一个人后面压阵，这帮旅游团的到处乱坐，也不制止，还有几个直接坐我这桌趁我们不在。和员工反映了这情况，她们说有些客人不听劝，他们也没办法。她们给我们提出的解决方式就是一直留一个人在桌上。我就想问了，就我和小孩的情况下，怎么一直留人？这是解决方法吗？ 我们过来吃饭还得防贼？和经理反映了这情况，经理第一句话就是每个客人绝对是安排座位的，那这样就没法继续聊下去了。就这样，管理能不乱吗？,IP属地:上海,,,,,东方明珠差评
_WeCh****18938,2分,一般,景色4,趣味4,性价比2,不太建议最近去东方明珠那一片，全是打卡五月天萝卜的粉丝，人特别多，特别拥堵。我平时经常路过，也没见这么挤。,IP属地:浙江,,,,,东方明珠差评
立川市正德皇帝,1分,不佳,景色1,趣味1,性价比1,比较一般，不建议不推荐,IP属地:上海,,,,,东方明珠差评
_WeCh****520360,1分,不佳,景色1,趣味1,性价比1,先说一下，真的不知道这是团票，需要集合一起进去，早去一分钟都进不去，东方明珠11点才能进去，但是如果报名的人少一个你们都进不去要等，我们等了30分钟，11.30才进去的，带了小孩子，等的都不耐烦了。船是3.30或者6.30才能做，这中间你都得自己安排行程，极其不灵活，真的没有必要省了那点钱找罪受！,IP属地:辽宁,,,,,东方明珠差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,不值。太一般了,IP属地:山东,,,,,东方明珠差评
M31****4083,1分,不佳,景色1,趣味1,性价比1,上面显示时间下午两点半之前能进去，结果早上那么早发信息说十一点进，谁看的到信息，等看到信息还不能改时间，火车到上海进门时间早就过了,IP属地:浙江,,,,,东方明珠差评
匿名用户,2分,一般,景色2,趣味2,性价比2,不能选择时间段,IP属地:上海,,,,,东方明珠差评
今个人生,1分,不佳,景色1,趣味1,性价比1,差｀，太差了，隧道观光还没通知，去了的时候又不让进，让发二维码还不发，最后自己又掏钱才进去的，垃圾,IP属地:江苏,,,,,东方明珠差评
爱喵桑的乖喵喵,2分,一般,景色5,趣味1,性价比1,不到时间餐都收了，除了拍照好看没有优点,IP属地:北京,,,,,东方明珠差评
M42****787,1分,不佳,景色1,趣味1,性价比1,很旧 味道很大 态度很差,IP属地:上海,,,,,东方明珠差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,服务态度非常差，买了三联球因为天气原因，什么也看不到，问工作人员没人耐心解答，人多可以理解，但是实在是太不在乎游客的体验了，明确告知我们是三联球，要看夜景，还像赶鸭子一样让我们上电梯。特别差！另外一定要告诉大家的是，阴天雨天，千万不要来！！巨坑！！智商税,IP属地:上海,,,,,东方明珠差评
VVVicent,2分,一般,景色2,趣味2,性价比2,就一般，真一般，没啥必要，但是话又说回来，不来的话，上海也没啥好玩的了,IP属地:上海,,,,,东方明珠差评
M52****9638,1分,不佳,景色1,趣味1,性价比1,不上去后悔一时，上去后悔一辈子，下次请我，我都不带上去的，真心没啥去头，排队排了3个小时，上去看了不到15分钟，又排一个点下来，还不如去旁边中心大厦，唉！一言难尽啊,IP属地:上海,,,,,东方明珠差评
M28****7631,1分,不佳,景色1,趣味1,性价比1,上次来的时候是19年，感觉种类变少了，菜品不如从前。很多滥竽充数的菜。很失望。定的5点的入场，4点40到的没有快速通道。算运气不好吧，明明是错开旅游高峰来的，结果大家都以为自己错开高峰来了。反而人很多。,IP属地:上海,,,,,东方明珠差评
你有我廋马,2分,一般,景色3,趣味3,性价比3,很一般各方面,IP属地:浙江,,,,,东方明珠差评
M46****4015,1分,不佳,景色1,趣味1,性价比1,"以下是差评内容：
 
非常不满意此次东明明珠塔套票的体验！购买套票时，订单上完全未注明是团体票，需要跟团集合一起验票。直到收到短信通知十一点在明珠塔 8 号门集合，整个安排十分仓促。十一点半导游领着先送去了游船，游船结束后又必须立刻进电视塔里，不然票就失效，这让人完全没有自主安排的时间。而且套票中还包含观光隧道，询问导游何时去，只说会有通知，结果一直等到五点半才打电话说要集合。这一天的行程混乱不堪，毫无规划可言，严重影响了游玩的心情，强烈不建议大家购买这种套票！",IP属地:上海,,,,,东方明珠差评
匿名用户,2分,一般,景色5,趣味3,性价比3,菜品味道一般，进去用餐要排队，不可以按预订顺序编好坐位，导致我们60几岁的老人排了一个多小时，而且只能站着或坐地下排队。终于坐到理想的位置。1还没到时间，服务人员就来提醒你到九点，订的上面写的清楚的，难道我们不知道？就想着你早点走了他们好收拾完了下班，有待提高。,IP属地:上海,,,,,东方明珠差评
M10****194,1分,不佳,景色1,趣味2,性价比1,订单信息老人，儿童消费存在疑问，现场门票老人6折，儿童6周或1米到1.3米免门票，实际核销1米以上就要买儿童票，不管几岁。存在,IP属地:福建,,,,,东方明珠差评
_WeCh****561272,1分,不佳,景色1,趣味1,性价比1,差差差差差差差差,IP属地:上海,,,,,东方明珠差评
克尼茨术赤,1分,不佳,景色5,趣味1,性价比1,排队两小时，看景3分钟！真的是乌烟瘴气，胜在天气好，环境脏乱差，味道悠长……,IP属地:广西,,,,,东方明珠差评
匿名用户,2分,一般,景色4,趣味2,性价比2,排队时间太长，观光环境太差，卫生很糟糕,IP属地:浙江,,,,,东方明珠差评
Summer6863,2分,一般,景色4,趣味3,性价比2,人实在太多了。排队至少两小时。进入大厅是无数的人头。体验很差。,IP属地:江苏,,,,,东方明珠差评
邻家端哥,1分,不佳,景色1,趣味1,性价比1,观光隧道未安排、未退款！,IP属地:江苏,,,,,东方明珠差评
_WeCh****527840,1分,不佳,景色5,趣味1,性价比1,儿童也收取了成人票价，过江隧道时间安排太晚极不合理且无人当面或电话告知，下午三点半发了条短信还被手机默认为垃圾短信屏蔽，电话沟通不给改和退，只能在隧道口重新购买了三张票体验了隧道。,IP属地:上海,,,,,东方明珠差评
