user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
M48****994,2分,一般,景色3,趣味2,性价比3,进门都半小时了还把游客晾在一边接迟到的人，虽然导游历史知识自身比较丰富但没考虑游客，走路跟不上，方向也不说，跟前天的故宫导游真是云泥之别。最后因为人多祈年殿也没进去，一开始怎么不规划好行程呢。,IP属地:北京,,,,,天坛公园差评
M23****8235,1分,不佳,景色3,趣味2,性价比1,体验感一般 五一人多 队排到腿软 下次肯定不去了??,IP属地:北京,,,,,天坛公园差评
M46****914,1分,不佳,景色1,趣味1,性价比1,不错不错服务很好，进店有免费的茶水给喝，酒店位置也不错很方便出行！有免费的停车场，电梯很方便，早餐很好吃，种类很多推荐,IP属地:内蒙古,,,,,天坛公园差评
_WeCh****113939,1分,不佳,景色1,趣味1,性价比1,买票的时候说是深度游，有导游带，去了根部找不到导游，预留电话还关机，骗子,IP属地:山西,,,,,天坛公园差评
和尚1128,1分,不佳,景色1,趣味1,性价比1,不咋滴不咋滴不咋滴不咋滴不咋滴,IP属地:北京,,,,,天坛公园差评
171****351,1分,不佳,景色1,趣味1,性价比1,在里面一个半小时，排队一个小时10分钟，现场管理混乱，毫无乐趣可言,IP属地:北京,,,,,天坛公园差评
蓝色天空的1,1分,不佳,景色5,趣味5,性价比1,不显示学生票不建议在这个软件买,IP属地:河北,,,,,天坛公园差评
匿名用户,1分,不佳,景色4,趣味4,性价比1,根本联系不上导游，按照订单信息到了指定地点，等了半个小时，打了预留的电话，关机。,IP属地:北京,,,,,天坛公园差评
M24****5234,1分,不佳,景色1,趣味1,性价比1,不要下单，骗人的,IP属地:北京,,,,,天坛公园差评
半步123,1分,不佳,景色4,趣味1,性价比1,景点卖票吃像太难看了,IP属地:湖北,,,,,天坛公园差评
匿名用户,2分,一般,景色3,趣味3,性价比3,硬件设施陈旧，游客量大管理不行。,IP属地:北京,,,,,天坛公园差评
M42****7126,1分,不佳,景色3,趣味1,性价比1,很差的一次体验，没有人工讲解，进不了其它园区,IP属地:北京,,,,,天坛公园差评
奇迹2000,1分,不佳,景色1,趣味1,性价比1,人多，挤不动，拍照全是人,IP属地:山东,,,,,天坛公园差评
130****5891,2分,一般,景色2,趣味2,性价比2,暑假别去真的,IP属地:上海,,,,,天坛公园差评
hujunhong123,1分,不佳,景色3,趣味2,性价比2,去的时候，好多都在维修。,IP属地:陕西,,,,,天坛公园差评
一抹陽光??,1分,不佳,景色5,趣味1,性价比1,除了人多，还是人多，就是人多，没别的，啥也看不到，因为暴雨的原因，别的园不开了，全来这里了,IP属地:北京,,,,,天坛公园差评
205****626,1分,不佳,景色1,趣味1,性价比1,破旧，只能看人头,IP属地:北京,,,,,天坛公园差评
大道化简,2分,一般,景色3,趣味2,性价比3,回音壁居然围着，白花钱了。,IP属地:北京,,,,,天坛公园差评
M33****6669,2分,一般,景色1,趣味1,性价比1,太亏了，太亏了，不要走网上买票，直接去公园门口买票，才几十元，,IP属地:北京,,,,,天坛公园差评
晴儿乖宝,1分,不佳,景色1,趣味1,性价比1,稀巴烂服务,IP属地:北京,,,,,天坛公园差评
136****9451,1分,不佳,景色4,趣味1,性价比1,携程太坑了，小孩根本不用买票。收了90几。太没职业道德素养了。,IP属地:北京,,,,,天坛公园差评
M49****5328,1分,不佳,景色1,趣味1,性价比1,没有去，导游和我说什么时候都可以，结果现在退不了，,IP属地:福建,,,,,天坛公园差评
M43****506,2分,一般,景色2,趣味2,性价比2,走马观花似的讲解，到一个点就站那儿讲，不会边走边介绍，还不如请景区的讲解，起码便宜,IP属地:天津,,,,,天坛公园差评
M47****013,1分,不佳,景色1,趣味1,性价比1,骗子公司，大家千万别上当，,IP属地:安徽,,,,,天坛公园差评
酷酷的仙贝姐,1分,不佳,景色5,趣味1,性价比1,九点集合，导游一直在集合人，一个小时快过去了，下雨了，还在等人！最差的一次讲解体验！,IP属地:北京,,,,,天坛公园差评
M28****125,1分,不佳,景色1,趣味1,性价比1,十分垃圾导游像个老赶就是很不专业死都不会再来??????????????????????,IP属地:北京,,,,,天坛公园差评
_WeCh****85400,1分,不佳,景色1,趣味1,性价比1,巨坑，坑到无语。现场买票34成人联票，携程100多一人说带讲解，到了景点导游联系不到自己走了，后面申请携程一分不退。完全的坑！,IP属地:北京,,,,,天坛公园差评
183****2027,1分,不佳,景色1,趣味1,性价比1,骗子！买的是通票，可到了景区却进不去，又在现场买了票。打电话给携程，一个男的接的电话，这个接线员就跟大脑没发育一样，说了半天跟我说第二天不超过一点给我回复，结果过了两天了，也没个回复。整个就是不了了之，没人管！,IP属地:北京,,,,,天坛公园差评
M33****5155,1分,不佳,景色1,趣味1,性价比1,没搞明白 我提前申请也不给办理 就是不给退钱 人没过去 没用导游 然后还不给退票 真是无语 无良商家 黑心店 广大网友看清这家 携程这么大平台也真是无语！！！！,IP属地:北京,,,,,天坛公园差评
wucaiyi,1分,不佳,景色1,趣味1,性价比1,不想说，反正不用买就行,IP属地:广东,,,,,天坛公园差评
M31****3400,1分,不佳,景色3,趣味2,性价比1,商家售后服务态度极差,IP属地:北京,,,,,天坛公园差评
M32****9495,1分,不佳,景色1,趣味1,性价比1,携程真恶心、订单没有使用也不给退、垃圾平台、想钱想疯了吧、,IP属地:河南,,,,,天坛公园差评
